名称,大类,中类,地址,经度,纬度,省份,城市,区域,教育质量,消费场所,医疗健康,旅游资源,交通运输
民治路15弄,商务住宅,住宅区,民治路与春江路交叉口西南60米,121.550759,31.294505,上海市,上海市,杨浦区,0.6308881071948294,0.47092735368575406,0.22152553631797697,0.21107493163705882,0.17315995334917988
上海理工大学军工路校区-第九学生宿舍,商务住宅,宿舍,军工路,121.557003,31.294302,上海市,上海市,杨浦区,0.2060373714400194,0.1513726266229601,0.1898920574918987,0.18925764355177768,0.1559606397656579
上海理工大学-五宿舍,商务住宅,宿舍,军工路516号,121.557117,31.292092,上海市,上海市,杨浦区,0.2114742981369876,0.15558705869483913,0.19195004401890328,0.191109228668894,0.1584154709846004
上海理工新光电楼,商务住宅,其他,上理中路附近,121.554361,31.293772,上海市,上海市,杨浦区,0.23152869034573112,0.16619034067197838,0.20057696988430052,0.19721610272730508,0.16243425132909714
上海理工大学军工路校区第八学生宿舍,商务住宅,宿舍,海安路16号上海理工大学-光学与电子信息工程学院,121.55797,31.292758,上海市,上海市,杨浦区,0.20325533237387533,0.1508133403221299,0.1888581061499847,0.18857298826540936,0.15590907726982078
上海理工大学军工路校区-第一学生公寓北楼,商务住宅,宿舍,春江路学生宿舍附近,121.557769,31.294084,上海市,上海市,杨浦区,0.20148734109202418,0.14905729006641025,0.18822361532888135,0.18791033811475755,0.15488316212133388
上海理工大学军工路校区第一学生公寓南楼,商务住宅,宿舍,军工路470号上海理工大学军工路校区,121.557901,31.293715,上海市,上海市,杨浦区,0.20151507861867343,0.14929796972339657,0.18824300413728184,0.1879496749216277,0.15502299060724817
上海理工大学军工路校区第十二学生宿舍,商务住宅,宿舍,军工路516号,121.558142,31.29242,上海市,上海市,杨浦区,0.20288124684842856,0.15082632070665147,0.18871712584327668,0.18850494513223465,0.15598120649792926
上海理工大学国家大学科技园,商务住宅,产业园区,翔殷路128号上海理工大学科技园内,121.551175,31.308779,上海市,上海市,杨浦区,0.20136642427238466,0.15188666304656337,0.1894391154055366,0.19465598639842804,0.16546519722183825
小区,商务住宅,住宅区,虬江码头路2甲号,121.55532,31.309754,上海市,上海市,杨浦区,0.18508281263100707,0.1382970376747365,0.18369540568763146,0.18596582597086966,0.15459249960104035
