名称,大类,中类,地址,经度,纬度,省份,城市,区域,交通设施,休闲娱乐,购物消费,医疗保健,运动健身,科教文化,餐饮美食,旅游景点
上海理工大学-五宿舍,商务住宅,宿舍,军工路516号,121.557117,31.292092,上海市,上海市,杨浦区,0.10662644417183761,0.029969366590441554,0.20017375162183892,0.09660068936917596,0.09407855144475043,0.19040555230093198,0.07718167499912928,0.09126013823330645
上海理工新光电楼,商务住宅,其他,上理中路附近,121.554361,31.293772,上海市,上海市,杨浦区,0.13292985276272778,0.03355082892658706,0.2539829268631293,0.14291739339867748,0.12295198108988438,0.26435831311317065,0.10575753448331163,0.12624406513570036
上海理工大学军工路校区第八学生宿舍,商务住宅,宿舍,海安路16号上海理工大学-光学与电子信息工程学院,121.55797,31.292758,上海市,上海市,杨浦区,0.08762958698343502,0.02392551885814571,0.17342924012894875,0.0756741812046965,0.07924546242598493,0.15537452141339905,0.062475810754547494,0.07355719598260203
上海理工大学军工路校区-第一学生公寓北楼,商务住宅,宿舍,春江路学生宿舍附近,121.557769,31.294084,上海市,上海市,杨浦区,0.07894277674980575,0.018318368158087298,0.16297417820723806,0.07083373206654762,0.07610067561439479,0.14722467755567445,0.056908331553202136,0.06833068595412013
上海理工大学军工路校区第一学生公寓南楼,商务住宅,宿舍,军工路470号上海理工大学军工路校区,121.557901,31.293715,上海市,上海市,杨浦区,0.08019454336939547,0.01952136924718547,0.1644314565716991,0.07098827996683012,0.07601958943223568,0.14735464786733704,0.0575722503081371,0.06864559537679998
上海理工大学军工路校区第十二学生宿舍,商务住宅,宿舍,军工路516号,121.558142,31.29242,上海市,上海市,杨浦区,0.08822946627315897,0.025082933400416667,0.17350534403427786,0.07462851783882118,0.07804025932831463,0.15367048489437948,0.06241360641430153,0.07305066704765839
上海理工大学国家大学科技园,商务住宅,产业园区,翔殷路128号上海理工大学科技园内,121.551175,31.308779,上海市,上海市,杨浦区,0.15070271547539882,0.09711918512937119,0.1796184521207767,0.07996085089290252,0.13371212364284274,0.14665724299055655,0.07577906907139977,0.11250279668320665
小区,商务住宅,住宅区,虬江码头路2甲号,121.55532,31.309754,上海市,上海市,杨浦区,0.0763031122358769,0.07634277059990358,0.08490001358487051,0.017838076425657684,0.07714783054218867,0.04090451642308934,0.027873596317759278,0.05088829661788858
虬江码头路1弄1-19号小区,商务住宅,住宅区,虬江码头路与南翔殷路交叉口北200米,121.555611,31.306816,上海市,上海市,杨浦区,0.07140372658591662,0.03493552901966067,0.09288640349205984,0.01959930068664538,0.07667653059367298,0.04368630617068248,0.028809427942474375,0.04615817196116779
大西洋小区,商务住宅,住宅区,中环军工路立交桥与翔殷路隧道交叉口北200米,121.552346,31.30777,上海市,上海市,杨浦区,0.12890101230761075,0.07085794656113734,0.15359326150720995,0.06120939745784982,0.11941840812235413,0.11260650913800048,0.062025704592723774,0.09324477406829924
